TF gene ID,level in GCN
Zm00001d032024, 3
Zm00001d004744, 14
Zm00001d041853, 13
Zm00001d042665, 3
Zm00001d053060, 14
Zm00001d038338, 14
Zm00001d010201, 7
Zm00001d012255, 6
Zm00001d011645, 5
Zm00001d043131, 5
Zm00001d012544, 3
Zm00001d028930, 8
Zm00001d045560, 15
Zm00001d036768, 6
Zm00001d019712, 5
Zm00001d046632, 5
Zm00001d030737, 13
Zm00001d006922, 13
Zm00001d040426, 8
Zm00001d032206, 15
Zm00001d050400, 14
Zm00001d012379, 6
Zm00001d035605, 13
Zm00001d032194, 11
Zm00001d040423, 13
Zm00001d008251, 10
Zm00001d040621, 13
Zm00001d047671, 5
Zm00001d003064, 6
Zm00001d051788, 14
Zm00001d016000, 14
Zm00001d037836, 14
Zm00001d018776, 12
Zm00001d030678, 13
Zm00001d041576, 13
Zm00001d048623, 14
Zm00001d053124, 6
Zm00001d008695, 4
Zm00001d010907, 14
Zm00001d005300, 7
Zm00001d037334, 3
Zm00001d039306, 14
Zm00001d011614, 15
Zm00001d049079, 12
Zm00001d024644, 3
Zm00001d002545, 6
Zm00001d044194, 6
Zm00001d015487, 6
Zm00001d016784, 9
Zm00001d017505, 12
Zm00001d035113, 13
Zm00001d036356, 12
Zm00001d020947, 4
Zm00001d029875, 3
Zm00001d029963, 4
Zm00001d031454, 15
Zm00001d034945, 5
Zm00001d003496, 12
Zm00001d004033, 10
Zm00001d039492, 3
Zm00001d040464, 15
Zm00001d042756, 3
Zm00001d049581, 5
Zm00001d013265, 14
Zm00001d014863, 3
Zm00001d036632, 3
Zm00001d038288, 3
Zm00001d039185, 14
Zm00001d008229, 14
Zm00001d008808, 4
Zm00001d012285, 3
Zm00001d045581, 2
Zm00001d046974, 2
Zm00001d000184, 2
Zm00001d034033, 12
Zm00001d008800, 12
Zm00001d023931, 13
Zm00001d024894, 6
Zm00001d017782, 14
Zm00001d024547, 15
Zm00001d024784, 15
Zm00001d040527, 14
Zm00001d021296, 13
Zm00001d013694, 5
Zm00001d011252, 4
Zm00001d018258, 5
Zm00001d031898, 7
Zm00001d006106, 13
Zm00001d006616, 2
Zm00001d043877, 4
Zm00001d050960, 13
Zm00001d016950, 14
Zm00001d011589, 4
Zm00001d045600, 13
Zm00001d045617, 3
Zm00001d048456, 13
Zm00001d000112, 5
Zm00001d043094, 6
Zm00001d038227, 12
Zm00001d010227, 11
Zm00001d048059, 13
Zm00001d037315, 13
Zm00001d024543, 8
Zm00001d049540, 3
Zm00001d020972, 6
Zm00001d048493, 12
Zm00001d012527, 5
Zm00001d042580, 13
Zm00001d049687, 15
Zm00001d035076, 15
Zm00001d038207, 15
Zm00001d027530, 3
Zm00001d020982, 3
Zm00001d017084, 8
Zm00001d042288, 4
Zm00001d021423, 13
Zm00001d021424, 12
Zm00001d025483, 12
Zm00001d003583, 13
Zm00001d043921, 13
Zm00001d039506, 13
Zm00001d008817, 14
Zm00001d023669, 3
